,Date,Close.Last,Volume,Open,High,Low
1679,8/2/2016,17.498,314265,17.9255,17.9255,17.4854
1678,8/3/2016,17.7495,386069,17.498,17.7684,17.2528
1677,8/4/2016,18.0199,697075,17.7369,18.4034,17.7055
1676,8/5/2016,18.2525,482139,18.2085,18.2714,18.0387
1675,8/8/2016,18.1833,359763,18.2336,18.3657,17.9255
1674,8/9/2016,18.1519,371621,18.2588,18.2588,17.9947
1673,8/10/2016,18.4851,489534,18.1833,18.5166,18.0387
1672,8/11/2016,18.6423,276820,18.4851,18.6486,18.2776
1671,8/12/2016,18.7366,265989,18.6235,18.7429,18.504
1670,8/15/2016,18.68,531190,18.7869,18.8184,18.548
1669,8/16/2016,18.7052,240419,18.5669,18.7681,18.548
1668,8/17/2016,18.6486,150811,18.6926,18.7492,18.5354
1667,8/18/2016,18.919,257983,18.5983,18.9378,18.592
1666,8/19/2016,18.8058,166967,18.8938,19.0384,18.6863
1665,8/22/2016,18.6486,261382,18.2651,18.6549,18.2651
1664,8/23/2016,18.7052,193574,18.6549,18.963,18.6046
1663,8/24/2016,18.9252,285316,18.8749,18.9315,18.7178
1662,8/25/2016,18.963,148743,18.8687,18.9881,18.8309
1661,8/26/2016,18.6297,101035,18.9818,19.1013,18.5857
1660,8/29/2016,18.7303,147941,18.68,18.8246,18.548
1659,8/30/2016,18.7492,109272,18.6989,18.7932,18.68
1658,8/31/2016,19.1202,284714,18.6738,19.139,18.6738
1657,9/1/2016,19.183,229770,19.0447,19.183,18.8875
1656,9/2/2016,19.1767,117328,19.2522,19.3025,19.0887
1655,9/6/2016,19.1956,219420,19.1705,19.205,18.9755
1654,9/7/2016,19.4848,252941,19.1139,19.4974,19.0636
1653,9/8/2016,19.3842,180772,19.5288,19.6545,19.3025
1652,9/9/2016,19.051,240685,19.183,19.2899,19.007
1651,9/12/2016,19.4911,235045,18.9441,19.5226,18.9001
1650,9/13/2016,19.4597,231098,19.4094,19.5226,19.0793
1649,9/14/2016,19.4911,230317,19.4848,19.6169,19.2459
1648,9/15/2016,19.8747,147494,19.5414,19.9124,19.4471
1647,9/16/2016,20.0633,391349,19.8809,20.0947,19.7112
1646,9/19/2016,20.0193,277982,20.1199,20.1199,19.9187
1645,9/20/2016,19.9753,238866,20.1199,20.2959,19.8684
1644,9/21/2016,19.8055,217789,20.0004,20.1136,19.6483
1643,9/22/2016,19.9061,158877,19.9878,20.0884,19.8055
1642,9/23/2016,19.6986,186427,19.7929,19.9878,19.6986
1641,9/26/2016,19.2585,233761,19.5351,19.7803,19.2333
1640,9/27/2016,19.6923,366040,19.3151,19.7175,19.2208
1639,9/28/2016,19.686,153375,19.7741,19.8055,19.4974
1638,9/29/2016,19.3654,144638,19.73,19.8306,19.3528
1637,9/30/2016,19.5477,181404,19.3905,19.6797,19.2962
1636,10/3/2016,20.2582,256248,20.0256,20.2582,19.6923
1635,10/4/2016,19.8872,330114,20.3588,20.3588,19.5603
1634,10/5/2016,20.0821,180884,20.0004,20.1827,19.8872
1633,10/6/2016,20.4091,214237,20.1199,20.5286,20.0381
1632,10/7/2016,20.2708,219996,20.5034,20.6426,20.2047
1631,10/10/2016,20.3085,206578,20.1827,20.56,20.1513
1630,10/11/2016,19.8055,205702,20.3399,20.4342,19.7741
1629,10/12/2016,20.057,192779,19.8684,20.1827,19.8369
1628,10/13/2016,19.7112,197001,19.8369,19.9312,19.6797
1627,10/14/2016,19.9627,171099,19.8369,20.0884,19.7741
1626,10/17/2016,19.8369,115165,19.8684,19.9627,19.7741
1625,10/18/2016,19.8684,93926,20.057,20.1199,19.8369
1624,10/19/2016,19.8369,146273,19.9941,19.9941,19.7112
1623,10/20/2016,19.8684,184388,19.9312,19.9627,19.7426
1622,10/21/2016,19.9941,208554,19.8055,20.0727,19.6797
1621,10/24/2016,20.1827,220556,20.2456,20.2771,19.9187
1620,10/25/2016,19.8684,218780,20.2142,20.2456,19.7741
1619,10/26/2016,19.9312,264639,19.7112,20.2142,19.7112
1618,10/27/2016,19.7741,175723,20.057,20.057,19.5226
1617,10/28/2016,19.7112,211217,19.7426,19.9784,19.554
1616,10/31/2016,19.7741,210288,19.6483,19.8369,19.5854
1615,11/1/2016,19.3025,223178,19.8684,19.8684,19.1767
1614,11/2/2016,19.2396,236893,19.3025,19.3968,19.1139
1613,11/3/2016,19.3654,223145,19.1453,19.4597,19.1453
1612,11/4/2016,19.6797,250128,19.4597,19.9941,19.4597
1611,11/7/2016,20.1827,202488,19.8369,20.2771,19.6797
1610,11/8/2016,20.2771,400309,20.3399,20.6857,19.8684
1609,11/9/2016,21.0001,451464,19.8998,21.3459,19.8998
1608,11/10/2016,21.0001,308812,21.283,21.4717,20.8115
1607,11/11/2016,21.6917,635563,21.1573,21.8175,21.0504
1606,11/14/2016,21.6917,313156,21.9118,21.9747,21.5974
1605,11/15/2016,21.7232,409474,21.5974,21.8332,21.5345
1604,11/16/2016,21.6917,504092,21.566,21.8175,21.4717
1603,11/17/2016,22.3205,411070,21.8175,22.4148,21.5974
1602,11/18/2016,22.0375,278089,22.1319,22.1947,21.8489
1601,11/21/2016,21.8489,315913,22.1319,22.2262,21.7232
1600,11/22/2016,21.8175,285065,22.0061,22.0375,21.786
1599,11/23/2016,21.9432,231116,21.8804,22.0375,21.7546
1598,11/25/2016,21.9747,188087,22.0375,22.0375,21.8804
1597,11/28/2016,21.3145,192695,22.0061,22.0533,21.283
